Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Brenton Doyle","COL",100,334,8,37,29,17,0.05688623,0.37125749,0.12052118,0.2752809,0.18566775,0.24024024,0.30618893,0.24041645358632635,0.263,31.44453459482609,2.3578263614326715,-25.86489554161866,15.776594519615173,0.11933826150591714,"Brenton Doyle",25479,686668
"Yoán Moncada","CHW",69,267,5,25,28,1,0.05243446,0.27715356,0.132,0.33139535,0.248,0.29213483,0.38,0.2920592679513081,0.296,82.3870995007428,-0.9269468449056149,-6.570814480622598,-1.3788958191871643,0.11853188611574399,"Yoan Moncada",17232,660162
"Osleivis Basabe","TBR",15,52,1,10,9,0,0.07692308,0.25,0.12765957,0.33333333,0.25531915,0.32692308,0.38297872,0.3135273215862421,0.249,102.74263852875801,-0.4202953246422112,-0.2491336239181952,-0.36261212825775146,0.11664069128674118,"Osleivis Basabe",23985,678545
"Dalton Guthrie","PHI",23,28,0,4,0,0,0.10714286,0.25,0.04166666,0.23529412,0.16666667,0.28571429,0.20833333,0.23939923303467886,0.281,45.16745225981884,0.446631642524153,-1.445741618265682,1.445987867191434,0.09451542411693338,"Dalton Guthrie",21293,656495
"Joey Votto","CIN",51,195,13,20,33,0,0.1025641,0.28205128,0.25882353,0.20588235,0.2,0.3025641,0.45882353,0.3279243466181633,0.3,99.9609178310399,-0.5125860818661749,-0.52197949914918,-5.147822022438049,0.09165859659967457,"Joey Votto",4314,458015
"Cole Tucker","COL",3,8,0,2,2,0,0.125,0.25,0,0.6,0.42857143,0.5,0.42857143,0.41781892627477646,0.445,150.88320114507889,0.5695038195699453,1.0712392368344665,-0.5105212181806564,0.08301205315264684,"Cole Tucker",17326,657061
"Xavier Edwards","MIA",9,22,0,4,2,1,0,0.18181818,0.04761905,0.47058824,0.38095238,0.38095238,0.42857143,0.3533420023464021,0.285,122.65359662948339,0.4466316574253142,1.0609170527924243,-0.9997106865048409,0.08035719133155829,"Xavier Edwards",22266,669364
"Cody Thomas","OAK",19,46,1,1,2,0,0.08695652,0.36956522,0.14285714,0.375,0.23809524,0.30434783,0.38095238,0.30028427424638165,0.21,93.73275528109572,-0.6762405345216393,-1.0222350076840878,0.2441016435623169,0.07950892731367541,"Cody Thomas",19828,642137
"Jacob Young","WSN",6,18,0,1,0,1,0.11111111,0.22222222,0.125,0.25,0.1875,0.27777778,0.3125,0.2645072903898027,0.284,62.81544460596784,0.1771278497762978,-0.6478559954275095,0.8312591165304184,0.07906572797260365,"Jacob Young",29931,696285
"Hunter Goodman","COL",4,16,0,2,3,0,0.0625,0.3125,0.21428571,0.5,0.35714286,0.375,0.57142857,0.384725634008646,0.264,128.60268475697922,-0.030496204271912575,0.5335791545291511,-0.2988731237128377,0.07744144750579543,"Hunter Goodman",29715,696100
"Vinny Capra","PIT",7,18,0,3,1,0,0.11111111,0.16666667,0.06666667,0.25,0.2,0.29411765,0.26666667,0.25880099044126625,0.247,56.66032632226929,-0.030496204271912575,-0.9920387119516157,1.1267576962709427,0.07420227433273811,"Vinny Capra",25040,681962
"Ceddanne Rafaela","BOS",2,5,0,1,1,0,0,0.4,0.2,0.66666667,0.4,0.4,0.6,0.42523626089096067,0.377,169.0957141660867,-0.007624051067978144,0.40700124165794593,0.11959913745522499,0.06969801570235087,"Ceddanne Rafaela",24262,678882
"Lawrence Butler","OAK",19,61,2,4,5,0,0.01639344,0.2295082,0.13559322,0.27906977,0.23728814,0.26229508,0.37288136,0.27447401402426547,0.342,75.88624404482732,-0.3914886247366667,-2.156832735526901,0.751215323805809,0.06809933861358564,"Lawrence Butler",22542,671732
"Richie Palacios","STL",11,32,1,1,6,0,0.03125,0.125,0.16666667,0.32,0.3,0.32258065,0.46666667,0.33814760177366193,0.316,114.89104411785267,-0.053368357475847006,0.5339660920744271,-0.9362655244767666,0.06780055734124918,"Richie Palacios",24589,680700
"Nathan Lukes","TOR",28,30,0,4,2,0,0.13333333,0.3,0.12,0.29411765,0.2,0.3,0.32,0.27474210858345033,0.283,72.22398458667514,0.6466316902078688,-0.35342789327021706,0.004283308982849121,0.06767088655640051,"Nathan Lukes",18123,664770
