"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Ray Kerr","SDP","0","0","0","2","0","1.1","13.50","0.00","0.00",".333","100.0%","100.0%","0.0%","95.1","0.00","1.39","0.38","0.38","0.0","23809","678061"
"Jack Flaherty","STL","2","3","0","6","6","32.0","9.28","5.91","1.13",".276","76.0%","46.8%","13.8%","93.4","3.94","5.16","5.20","5.01","0.0","17479","656427"
"Anthony Misiewicz","ARI","0","0","0","4","0","4.2","5.79","3.86","0.00",".333","71.4%","26.7%","0.0%","93.4","3.86","4.24","3.38","5.76","0.0","18152","664948"
"Nick Ramirez","NYY","0","0","0","2","0","4.1","6.23","4.15","0.00",".313","71.4%","43.8%","0.0%","","4.15","3.04","3.38","5.95","0.0","12575","598286"
"Jason Vosler","CIN","0","0","0","2","0","2.0","0.00","0.00","0.00",".455","80.0%","36.4%","0.0%","60.1","4.50","1.47","3.38","8.14","0.0","16686","613564"
"Trevor Richards","TOR","0","0","0","10","0","11.1","14.29","3.18","1.59",".348","83.3%","36.0%","18.2%","92.9","3.18","2.63","4.09","3.33","0.0","19309","670950"
"Matt Barnes","MIA","1","0","0","12","0","12.0","8.25","4.50","0.75",".286","72.3%","42.9%","7.7%","93.1","4.50","4.36","4.38","5.02","0.0","12863","598264"
"JoJo Romero","STL","0","0","0","4","0","6.0","7.50","6.00","0.00",".154","83.3%","69.2%","0.0%","96.1","1.50","3.55","3.72","4.25","0.0","19574","668941"
"Richard Bleier","BOS","0","0","0","12","0","12.2","6.39","2.13","0.71",".333","56.8%","47.4%","12.5%","89.2","6.39","4.15","4.17","4.15","0.0","7803","542947"
"Tommy Henry","ARI","1","0","0","2","2","9.2","3.72","4.66","0.93",".303","61.6%","38.2%","5.6%","90.7","6.52","4.12","5.45","7.06","0.0","26285","674072"
"Sammy Long","OAK","0","0","0","2","0","3.2","4.91","2.45","0.00",".308","33.3%","25.0%","0.0%","94.3","9.82","7.66","3.93","6.09","0.0","25379","669674"
"Tyson Miller","MIL","0","0","0","1","0","2.0","4.50","0.00","0.00",".000","100.0%","40.0%","0.0%","","0.00","","2.38","3.97","0.0","19976","668338"
"Andres Machado","WSN","0","0","0","1","0","2.0","4.50","0.00","0.00",".167","100.0%","66.7%","0.0%","97.5","0.00","","2.38","3.18","0.0","14681","600921"
"Jeremiah Estrada","CHC","0","0","0","2","0","3.0","15.00","9.00","0.00",".333","100.0%","0.0%","0.0%","94.8","0.00","3.55","3.05","4.64","0.0","22210","669093"
"Domingo German","NYY","2","2","0","5","5","26.0","11.42","3.12","2.42",".211","62.5%","38.1%","28.0%","92.6","5.54","5.19","5.50","3.52","0.0","17149","593334"
"Scott Alexander","SFG","2","0","0","13","0","11.0","4.91","1.64","0.82",".289","47.6%","60.5%","14.3%","","6.55","6.26","4.02","3.85","0.0","10591","518397"
"Kevin Ginkel","ARI","1","0","0","13","0","12.1","7.30","3.65","0.73",".273","75.3%","52.9%","8.3%","96.3","3.65","5.33","4.28","4.76","0.0","19876","656464"
"Clarke Schmidt","NYY","0","3","0","6","6","25.0","11.52","2.52","2.52",".394","64.3%","39.0%","21.2%","93.5","6.84","6.26","5.54","4.00","0.0","19899","657376"
"Caleb Kilian","CHC","0","1","0","1","1","3.1","10.80","5.40","0.00",".667","50.0%","35.7%","0.0%","93.8","18.90","10.91","4.58","5.53","0.0","26213","668873"
"Cody Bolton","PIT","0","0","0","1","0","2.0","4.50","0.00","0.00",".167","100.0%","33.3%","0.0%","94.4","0.00","1.62","2.38","5.56","0.0","23265","675989"
"Luis Frias","ARI","0","0","0","2","0","1.2","10.80","5.40","0.00",".714","33.3%","71.4%","0.0%","97.5","21.60","10.97","2.78","3.73","0.0","21997","666818"
"Konnor Pilkington","CLE","0","0","0","1","0","2.0","9.00","4.50","0.00",".200","100.0%","40.0%","0.0%","93.5","0.00","2.67","2.88","5.26","0.0","21453","663455"
"Jordan Weems","WSN","0","0","0","2","0","2.1","11.57","7.71","0.00",".250","100.0%","50.0%","0.0%","96.6","0.00","2.50","3.38","4.74","0.0","13190","607179"
"Trey Wingenter","DET","1","0","0","6","0","4.1","10.38","4.15","0.00",".385","55.6%","53.8%","0.0%","96.1","8.31","4.24","3.85","5.31","0.0","17793","622259"
"Nate Eaton","KCR","0","0","0","1","0","1.0","9.00","0.00","0.00",".500","100.0%","75.0%","0.0%","93.4","0.00","2.02","1.38","1.38","0.0","25055","681987"
"Tayler Saucedo","SEA","0","0","0","2","0","2.0","9.00","4.50","0.00",".200","100.0%","60.0%","0.0%","","0.00","3.68","2.88","3.68","0.0","17888","642048"
"Luke Williams","LAD","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","53.0","0.00","0.24","3.38","6.56","0.0","19931","663897"
"DL Hall","BAL","0","0","0","1","0","3.0","21.00","3.00","3.00",".667","87.0%","28.6%","33.3%","93.9","6.00","4.54","4.05","1.30","0.0","22207","669084"
"Luis Guillorme","NYM","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","0.0%","0.0%","69.6","0.00","12.91","3.38","8.14","0.0","16451","641645"
"Pierce Johnson","COL","0","1","3","11","0","10.1","13.94","6.10","1.74",".375","85.5%","28.0%","20.0%","95.6","4.35","3.16","4.84","3.85","0.0","13435","572955"
"Thad Ward","WSN","0","0","0","6","0","9.1","11.57","6.75","0.96",".250","69.0%","35.0%","12.5%","93.9","4.82","6.47","4.45","4.42","0.0","21513","663658"
"Heath Hembree","TBR","0","0","0","1","0","1.1","13.50","6.75","0.00",".000","100.0%","100.0%","0.0%","93.6","0.00","1.50","2.63","2.63","0.0","11632","592390"
"Joel Payamps","MIL","0","0","1","12","0","12.1","6.57","2.19","1.46",".316","91.5%","57.5%","20.0%","94.7","2.92","4.51","4.76","3.94","0.0","14332","606303"
"Elvis Peguero","MIL","0","0","0","3","0","5.1","6.75","1.69","1.69",".294","89.3%","44.4%","16.7%","","3.38","3.28","4.88","4.23","0.0","21652","665625"
"Levi Stoudt","CIN","0","1","0","1","1","4.0","6.75","2.25","2.25",".500","34.9%","47.1%","20.0%","93.7","15.75","5.76","5.88","4.62","0.0","25650","686651"
"Jose Rodriguez","SEA","0","0","0","1","0","3.0","3.00","3.00","0.00",".300","25.0%","60.0%","0.0%","95.9","9.00","7.38","3.72","4.77","0.0","17860","642578"
"Joe Mantiply","ARI","0","0","0","5","0","4.2","9.64","0.00","1.93",".182","62.5%","41.7%","16.7%","89.8","3.86","6.59","4.03","3.28","0.0","14857","573009"
"Nate Pearson","TOR","0","0","0","1","0","1.0","9.00","0.00","0.00",".000","100.0%","50.0%","0.0%","98.3","0.00","2.14","4.38","5.97","0.0","20160","663878"
"Stephen Nogosek","NYM","0","0","0","3","0","6.1","11.37","4.26","1.42",".412","93.8%","33.3%","14.3%","94.5","2.84","5.54","4.33","4.03","0.0","19545","668665"
"Steven Matz","STL","0","3","0","5","5","26.0","9.35","4.50","1.73",".370","71.1%","46.2%","22.7%","","6.23","5.36","5.31","4.15","0.0","13361","571927"
"Luke Maile","CIN","0","0","0","1","0","1.0","0.00","0.00","0.00",".500","66.7%","33.3%","0.0%","68.1","9.00","13.87","3.38","4.97","0.0","13355","571912"
"Cooper Criswell","TBR","0","0","0","2","0","6.2","13.50","2.70","1.35",".375","62.5%","52.9%","33.3%","","6.75","4.57","4.13","2.90","0.0","24975","681867"
"Ryan Thompson","TBR","1","0","0","8","0","7.2","3.52","4.70","0.00",".130","71.4%","43.5%","0.0%","91.8","2.35","3.90","4.17","6.23","0.0","16647","657044"
"Brandon Dixon","SDP","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","50.3","0.00","0.35","3.38","6.56","0.0","15214","641525"
"Isiah Kiner-Falefa","NYY","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","0.0%","0.0%","67.4","0.00","7.33","3.38","6.56","0.0","16512","643396"
"Luke Raley","TBR","0","0","0","1","0","1.0","0.00","0.00","0.00",".500","33.3%","50.0%","0.0%","58.0","18.00","8.10","3.38","6.56","0.0","19354","670042"
"Kodai Senga","NYM","3","1","0","5","5","26.0","11.08","6.23","1.73",".290","85.3%","56.1%","27.8%","96.2","4.15","4.89","5.50","4.10","0.0","31838","673540"
"Yimi Garcia","TOR","1","0","0","13","0","13.1","11.48","2.03","2.03",".290","55.6%","45.5%","33.3%","96.3","6.08","3.28","4.43","2.58","0.0","12095","554340"
"Nick Pivetta","BOS","1","2","0","5","5","24.2","10.22","4.01","1.82",".281","69.0%","30.9%","16.7%","94.4","5.11","5.84","5.33","4.62","0.0","15454","601713"
"Tom Cosgrove","SDP","1","0","0","1","0","0.1","0.00","0.00","0.00",".000","100.0%","100.0%","0.0%","","0.00","0.20","3.38","3.38","0.0","23443","676680"
"Evan Phillips","LAD","0","0","3","11","0","10.0","10.80","1.80","1.80",".273","97.6%","33.3%","25.0%","96.0","2.70","4.92","4.48","3.15","0.0","17734","623465"
"Hoby Milner","MIL","0","0","0","14","0","11.2","5.40","2.31","0.77",".242","77.6%","50.0%","11.1%","88.4","3.09","3.16","4.33","4.44","0.0","13346","571948"
"Alex Claudio","MIL","0","0","0","1","0","0.1","0.00","0.00","0.00",".667","100.0%","0.0%","0.0%","","0.00","29.00","3.38","3.38","0.0","12890","592222"
"Kevin Herget","CIN","1","0","0","4","0","7.2","4.70","2.35","1.17",".217","92.1%","29.2%","8.3%","92.8","2.35","5.05","5.21","6.00","0.0","15369","643361"
"Willi Castro","MIN","0","0","0","1","0","0.1","0.00","0.00","0.00",".000","100.0%","100.0%","0.0%","74.9","0.00","2.35","3.38","3.38","0.0","17338","650489"
"Nick Mears","COL","0","0","0","1","0","1.0","9.00","9.00","0.00",".333","50.0%","66.7%","0.0%","96.7","9.00","","4.38","4.38","0.0","25376","683232"
"Penn Murfee","SEA","1","2","0","14","0","12.1","10.22","6.57","0.73",".115","71.4%","48.1%","14.3%","88.1","1.46","3.40","4.60","4.45","0.0","25174","682171"
"Carl Edwards Jr.","WSN","0","1","1","11","0","10.1","6.97","5.23","0.87",".200","86.2%","45.2%","8.3%","93.8","1.74","4.27","4.84","5.42","0.0","13607","605218"
"Darren McCaughan","SEA","0","0","0","1","0","1.0","9.00","9.00","0.00",".250","50.0%","100.0%","0.0%","88.9","0.00","2.80","4.38","4.38","0.0","20038","670766"
"Matt Beaty","SFG","0","0","0","1","0","1.0","9.00","9.00","0.00",".600","25.0%","40.0%","0.0%","54.7","27.00","6.10","4.38","5.97","0.0","17710","607461"
"Edwin Uceta","NYM","0","0","0","1","0","3.0","9.00","6.00","0.00",".000","100.0%","40.0%","0.0%","93.5","0.00","3.50","4.38","5.97","0.0","20539","670955"
"Jake Cousins","MIL","0","0","0","2","0","3.0","9.00","9.00","0.00",".000","100.0%","80.0%","0.0%","95.1","0.00","2.44","4.38","4.91","0.0","21620","664776"
"Joel Kuhnel","CIN","0","0","0","1","0","2.0","0.00","4.50","0.00",".500","50.0%","60.0%","0.0%","96.5","13.50","5.80","4.88","5.68","0.0","19995","669270"
"Josh Winder","MIN","0","0","0","1","0","0.2","13.50","13.50","0.00",".750","50.0%","50.0%","0.0%","94.8","27.00","","4.88","7.26","0.0","24606","680739"
"Michael Lorenzen","DET","0","1","0","3","3","14.0","9.64","3.21","1.93",".366","65.7%","48.8%","21.4%","95.2","7.07","5.05","5.31","4.11","0.0","14843","547179"
"Garrett Cleavinger","TBR","1","0","0","13","0","10.2","10.13","5.06","0.84",".174","75.5%","41.7%","10.0%","95.5","2.53","2.29","4.32","4.59","0.0","17897","664076"
"Colin Rea","MIL","0","2","0","4","4","20.2","7.84","3.48","1.74",".216","70.7%","53.7%","20.0%","93.7","4.79","5.84","5.46","4.48","0.0","12317","607067"
"Tony Gonsolin","LAD","0","0","0","1","1","3.1","2.70","8.10","0.00",".200","100.0%","50.0%","0.0%","91.8","0.00","6.63","5.48","6.43","0.0","19388","664062"
"Jose Urquidy","HOU","2","2","0","6","6","27.2","7.48","3.25","1.95",".325","78.7%","32.6%","15.4%","93.4","5.20","4.79","5.73","5.15","0.0","18413","664353"
"Spencer Turnbull","DET","1","4","0","6","6","26.1","6.15","4.78","1.03",".318","60.7%","47.1%","10.7%","95.0","6.84","6.18","5.43","5.64","0.0","16207","605513"
